"forms_assessment_id";"forms_number";"forms_status";"forms_template_name";"primary_record_number";"primary_record_name";"inventory_processing_activities_id";"inventory_processing_activities_name";"inventory_processing_activities_status";"forms_org_grupo_name";"description_org";"forms_name";"stage_name";"hybrid_category";"forms_uf";"assessment_risk_level_name";"inherent_risk_level_name";"tratamento_risco";"risco_inerente_numerico";"risco_residual_numerico";"mitigacao_risco";"forms_create_dt";"forms_updated_dt";"deadline";"end_date_year";"end_date_month";"end_date_day";"end_date";"worked_days";"flag_ropa_rat"
"374803f0-07fd-43b3-a798-aaf518a67374";33549;COMPLETED;Mapeamento da Atividade de Tratamento de Dados Pessoais;"5047";Atualização depósitos judiciais;e5a956c7-0d4a-47c3-8445-d2aee414fbb4;Atualização depósitos judiciais;active;UFC;Unidade Finanças e Controladoria;ATUALIZAÇÃO DEPÓSITOS JUDICIAIS;IDENTIFICAÇÃO;NI;SP;MEDIUM;MEDIUM;Riscos iguais;2;2;Riscos iguais;"2025-05-08T13:17:24.940+00:00";"2025-05-08T14:36:12.770Z";1900-01-01 00:00:00.000 -0306;2025;5;8;2025-05-08 11:36:12.757 -0300;0;RAT
"78178cf9-0d11-4d15-ab39-9c8564d9ec1a";20236;UNDER_REVIEW;Formulário de Cadastro e Detalhamento de Atividade de Tratamento de Dados Pessoais;"6368";OT - test;NI;NI;NI;SEBRAE;Não informado;OT - TEST;IDENTIFICAÇÃO;"1.1 Gestão do Relacionamento com o Cliente";;HIGH;HIGH;Riscos iguais;3;3;Riscos iguais;"2024-09-27T17:33:23.417+00:00";"2024-09-27T18:15:29.763Z";1900-01-01 00:00:00.000 -0306;2024;9;27;2024-09-27 15:20:27.033 -0300;0;RAT
a77738d9-00da-4e38-8d5e-1237ec44179a;2069;COMPLETED;Relatório de Mapeamento de Atividade de Tratamento;"2633";Disponibilizar informações para o Portal da Transparência;"14edbc35-a5a7-4243-87f9-3c3546954e3c";Disponibilizar informações para o Portal da Transparência;active;SEBRAE;Sebrae Goiás;ATUALIZAR ATIVIDADE | ENVIO DE INFOMAÇÕES PARA O SEBRAE NACIONAL;NI;"1.3 Gestão de Soluções";GO;NI;NI;Riscos iguais;-1;-1;Riscos iguais;"2022-12-05T19:22:16.213+00:00";"2025-04-14T18:34:42.953Z";2022-12-09 00:00:00.000 -0300;2022;12;14;2022-12-14 18:01:46.840 -0300;9;ROPA
a00d221b-ac3c-4a2f-845c-8a179e93826e;33548;COMPLETED;Mapeamento da Atividade de Tratamento de Dados Pessoais;"5023";Atualização contingência jurídico;"685314f3-cddd-45e4-8038-7128196999d0";Atualização contingência jurídico;active;UFC;Unidade Finanças e Controladoria;ATUALIZAÇÃO CONTINGÊNCIA JURÍDICO;IDENTIFICAÇÃO;NI;SP;MEDIUM;MEDIUM;Riscos iguais;2;2;Riscos iguais;"2025-05-08T13:04:07.330+00:00";"2025-05-08T18:11:42.743Z";1900-01-01 00:00:00.000 -0306;2025;5;8;2025-05-08 15:11:42.727 -0300;0;RAT
"71b92a7d-e434-49a4-8ffa-c0a5678d49a2";33376;COMPLETED;Mapeamento da Atividade de Tratamento de Dados Pessoais;"6951";controles internos;d1f9a8cc-bf1f-4b66-b69c-93ae8757823e;controles internos;active;UCPD;Não informado;CONTROLES INTERNOS;IDENTIFICAÇÃO;NI;SP;MEDIUM;MEDIUM;Riscos iguais;2;2;Riscos iguais;"2025-04-25T14:19:17.067+00:00";"2025-05-02T17:52:34.347Z";1900-01-01 00:00:00.000 -0306;2025;5;2;2025-05-02 14:52:34.330 -0300;7;RAT
"5b4fac6e-4f38-440c-b310-e7f9e882660a";33374;COMPLETED;Mapeamento da Atividade de Tratamento de Dados Pessoais;"6950";due diligence;"955fb61d-0068-4c22-a88d-c4ca5e0e15c3";due diligence;active;UCPD;Não informado;DUE DILIGENCE;IDENTIFICAÇÃO;NI;SP;MEDIUM;MEDIUM;Riscos iguais;2;2;Riscos iguais;"2025-04-25T13:33:04.103+00:00";"2025-06-07T14:20:32.393Z";1900-01-01 00:00:00.000 -0306;2025;5;2;2025-05-02 14:10:47.410 -0300;7;RAT
"5af71141-6498-478c-ae85-fcb2f3496d7a";14250;COMPLETED;Relatório de Mapeamento de Atividade de Tratamento;"368";Estudos e Pesquisa;"1c04bf21-cd22-4ff2-8e4e-ddfe4994fa36";Estudos e Pesquisa;active;UEG;Não informado;UEG | ROPA 2024 | ESTUDOS E PESQUISA;NI;"1.1 Gestão do Relacionamento com o Cliente";AC;LOW;LOW;Riscos iguais;1;1;Riscos iguais;"2024-04-19T12:16:51.233+00:00";"2025-06-10T13:05:31.520Z";1900-01-01 00:00:00.000 -0306;2024;10;11;2024-10-11 16:51:49.490 -0300;175;ROPA
e43dc8be-e1c2-4e11-8525-5eb4894fa2b2;14215;COMPLETED;Relatório de Mapeamento de Atividade de Tratamento;"307";Relatório de Gestão;"1340dbb7-c0b3-49f8-a537-6b93fda35bc2";Relatório de Gestão;active;UEG;Não informado;UEG | ROPA 2024 |RELATÓRIO DE GESTÃO;NI;"1.3 Gestão de Soluções";AC;LOW;LOW;Riscos iguais;1;1;Riscos iguais;"2024-04-19T11:52:34.500+00:00";"2025-06-10T13:05:31.520Z";1900-01-01 00:00:00.000 -0306;2024;10;11;2024-10-11 16:52:31.963 -0300;175;ROPA
abfba115-606a-48ed-a32e-04bee29a4dc3;14236;COMPLETED;Relatório de Mapeamento de Atividade de Tratamento;"328";Processos Licitatórios;"8c2705b4-84c0-46e2-b3eb-edd75c9c41f8";Processos Licitatórios;active;ASSESSORIA DA SUPERINTENDÊNCIA;Não informado;SUPER | ROPA 2024 | PROCESSOS LICITATÓRIOS;NI;"1.1 Gestão do Relacionamento com o Cliente";AC;LOW;LOW;Riscos iguais;1;1;Riscos iguais;"2024-04-19T12:09:08.213+00:00";"2025-06-10T13:05:13.077Z";1900-01-01 00:00:00.000 -0306;2024;10;11;2024-10-11 16:57:02.563 -0300;175;ROPA
"977f69bc-894d-4359-aff4-d8a222dac2a7";14228;COMPLETED;Relatório de Mapeamento de Atividade de Tratamento;"390";Assessoria Direta ao Superintendente;bd861768-baa6-4b6b-af44-9662c15e9aa0;Assessoria Direta ao Superintendente;active;ASSESSORIA DA SUPERINTENDÊNCIA;Não informado;SUPER | ROPA 2024 | ASSESSORIA GERAL ;NI;"1.1 Gestão do Relacionamento com o Cliente";AC;LOW;LOW;Riscos iguais;1;1;Riscos iguais;"2024-04-19T12:05:24.553+00:00";"2025-06-10T13:05:13.077Z";1900-01-01 00:00:00.000 -0306;2024;10;11;2024-10-11 16:57:37.397 -0300;175;ROPA
